h_index,title,area,catalog,publisher,issn,widget,publication_type
1,Bugs and Critters,Biology,Bugs,Smarty Pants,12345,-,Journals
12,Quantum Digest,Physics,Quantum Mechanics,Waveform Press,67890,-,Journals
23,Global Health Monitor,Medicine,Public Health,HealScope Media,11223,-,Journals
15,AI Frontiers,Computer Science,Artificial Intelligence,NeuralNode Publications,44556,-,Journals
30,Green Chemistry Today,Chemistry,Sustainable Chemistry,Verde Science,99887,-,Journals
18,Ancient Civilizations Review,History,Archaeology,Heritage Prints,33445,-,Journals
25,Digital Learning Era,Education,E-Learning,PedagoPress,66778,-,Journals
19,Oceanic Studies,Earth Sciences,Marine Science,BlueWorld Publications,77661,-,Journals
27,Journal of Renewable Energies,Engineering,Energy Systems,EcoEngineers,55993,-,Journals
10,Language & Thought,Linguistics,Cognitive Linguistics,SpeakEasy Press,88990,-,Journals
14,Social Fabric,Sociology,Social Networks,Community Ink,33456,-,Journals
31,Neural Pathways,Neuroscience,Cognitive Neuroscience,BrainWorks Media,44567,-,Journals
20,AgroTech Journal,Agricultural Sciences,Agrotechnology,Harvest Editions,22446,-,Journals
16,Mathematics in Motion,Mathematics,Applied Mathematics,Equation House,77889,-,Journals
22,Urban Futures,Architecture,Urban Planning,CityVision Press,11235,-,Journals
13,Legal Perspectives,Law,Comparative Law,Justitia Publishers,66789,-,Journals
28,Climate Chronicles,Environmental Science,Climate Change,PlanetWise,99876,-,Journals
11,Digital Culture Review,Media Studies,Cyberculture,Streamline Studios,33665,-,Journals
24,Journal of Molecular Design,Biology,Molecular Biology,BioStructura,44789,-,Journals
17,Ethics & Innovation,Philosophy,Tech Ethics,ThinkCore,55987,-,Journals
21,Journal of Music Theory,Arts,Musicology,Harmony House,77890,-,Journals
